V,throttle,thrust,power
7.4,0.15,0.0,0.0
7.4,0.2,0.0,0.0
7.4,0.25,0.193408,1.697113
7.4,0.3,0.520696,4.661452
7.4,0.35,0.913396,8.632063
7.4,0.4,1.376464,13.89336
7.4,0.45,1.816452,19.887478
7.4,0.5,2.207644,27.026638
7.4,0.55,2.572725,35.889319
7.4,0.6,3.100812,47.53329
7.4,0.65,3.960494,62.997403
7.4,0.7,5.140814,82.177066
7.4,0.75,6.49011,103.786534
7.4,0.8,7.930031,127.212731
7.4,0.85,9.480122,152.581301
7.4,0.9,11.13906,179.907907
7.4,0.95,12.871542,208.916864
7.4,1.0,14.53537,239.258566
8.385714,0.0,0.0,0.0
8.385714,0.05,0.0,0.0
8.385714,0.1,0.0,0.0
8.385714,0.15,0.0,0.0
8.385714,0.2,0.0,0.0
8.385714,0.25,0.05365,0.647969
8.385714,0.3,0.360789,3.575743
8.385714,0.35,0.754413,7.720427
8.385714,0.4,1.217929,13.100357
8.385714,0.45,1.727881,19.669732
8.385714,0.5,2.239438,27.323931
8.385714,0.55,2.698116,36.088661
8.385714,0.6,3.101391,46.534065
8.385714,0.65,3.586728,59.669068
8.385714,0.7,4.316042,76.421905
8.385714,0.75,5.420298,97.941625
8.385714,0.8,6.802937,123.186547
8.385714,0.85,8.33732,151.0866
8.385714,0.9,9.961944,181.027782
8.385714,0.95,11.696794,213.166643
8.385714,1.0,13.541222,247.53069
9.371429,0.0,0.0,0.0
9.371429,0.05,0.0,0.0
9.371429,0.1,0.0,0.0
9.371429,0.15,0.0,0.0
9.371429,0.2,0.0,0.0
9.371429,0.25,0.0,0.0
9.371429,0.3,0.196379,2.234459
9.371429,0.35,0.570066,6.343282
9.371429,0.4,1.029787,11.862898
9.371429,0.45,1.562549,18.83495
9.371429,0.5,2.132508,27.018892
9.371429,0.55,2.693448,36.312894
9.371429,0.6,3.232047,47.002199
9.371429,0.65,3.690342,59.250751
9.371429,0.7,4.162628,74.020129
9.371429,0.75,4.804619,92.340392
9.371429,0.8,5.776519,115.454303
9.371429,0.85,7.114844,143.834936
9.371429,0.9,8.698615,175.929169
9.371429,0.95,10.415556,210.935373
9.371429,1.0,12.224778,248.187067
10.357143,0.0,0.0,0.0
10.357143,0.05,0.0,0.0
10.357143,0.1,0.0,0.0
10.357143,0.15,0.0,0.0
10.357143,0.2,0.0,0.0
10.357143,0.25,0.0,0.0
10.357143,0.3,0.021981,0.56007
10.357143,0.35,0.379637,4.662193
10.357143,0.4,0.821037,10.161058
10.357143,0.45,1.346698,17.249891
10.357143,0.5,1.941502,25.926305
10.357143,0.55,2.571648,35.925491
10.357143,0.6,3.210996,47.326429
10.357143,0.65,3.800023,59.879666
10.357143,0.7,4.326573,74.159972
10.357143,0.75,4.821283,90.864447
10.357143,0.8,5.430537,111.148391
10.357143,0.85,6.259053,135.612663
10.357143,0.9,7.486854,166.208554
10.357143,0.95,9.051237,202.234798
10.357143,1.0,10.81699,241.837341
11.342857,0.0,0.0,0.0
11.342857,0.05,0.0,0.0
11.342857,0.1,0.0,0.0
11.342857,0.15,0.0,0.0
11.342857,0.2,0.0,0.0
11.342857,0.25,0.0,0.0
11.342857,0.3,0.0,0.0
11.342857,0.35,0.18716,2.698136
11.342857,0.4,0.605657,8.115904
11.342857,0.45,1.113527,15.190352
11.342857,0.5,1.702856,24.014872
11.342857,0.55,2.361899,34.60882
11.342857,0.6,3.053864,46.637766
11.342857,0.65,3.744984,60.021372
11.342857,0.7,4.397683,74.725785
11.342857,0.75,5.002498,91.378904
11.342857,0.8,5.54746,110.342862
11.342857,0.85,6.133997,132.576135
